Codigo Item;Id Categoria (Ver hoja Categorias);Fecha (YYYY-MM-DD);Comentarios;Nombre de Archivo
FER0494;1;2017-11-23;;FICHA TECNICA ACEITE MINERAL.pdf
FER0107;2;2017-11-23;;HS ACEITE MINERAL.pdf
FER0108;1;2017-11-23;;FICHA TECNICA - ACIDO BARICO.pdf
FER0110;2;2017-11-23;;HOJA DE SEGURIDAD ACIDO BORICO.pdf
FER0355;3;2017-11-23;;resolucion-243630-1999.pdf
FER0056;1;2017-11-23;;Ficha Tecnica ATONIT.pdf
FER0055;2;2017-11-23;;MDS HOJA DE SEGURIDAD ATONIT 5EC..pdf
FER0053;3;2017-11-23;;Registro Sanitario ATONIT 5EC..pdf
FER0054;1;2017-11-23;;FICHA TECNICA BAYGON.pdf
FER0449;2;2017-11-23;;HOJA DE SEGURIDAD BAYGON.pdf
